rank,address,liquid,staked,market,total
604,terra10zwqf55neauxzkhs7euxw5rz09cgmgcvnx7m7z,0,0,0,1
605,terra120zpz9espst5j6tj6e6tswjz75uw2h7jyum792,0,0,0,1
606,terra1227rr6lmse62npdxtra5y7gsp7zs69d03fxk68,1,1,0,1
607,terra1247xf3nz6atlsmxdz43h37c83tcdnuknc80f48,1,1,0,1
608,terra124znjuweqm26jkg4z35kx8kjgcfa30gawm09uz,1,1,0,1
609,terra12629f3upv4ltattegp6tzc7uwssq5wfdy7824f,0,0,0,1
610,terra126pzz4ed3r6v65jen9ex6u7ttdv7c0nytl7djf,1,1,0,1
611,terra127w0ms630ay6j05cyufqmsnfp48nyxxnt2yuw6,0,0,0,1
612,terra1288lm729k978rp0du64sjjgpawhc2s3ls8408g,0,0,0,1
613,terra128qmeave7hlnjj5uxd46jce65wrumkhf0j8ew9,1,1,0,1
614,terra1295etyk99ra5x3e2suvyp5yv7jd5wcrys9hmc2,1,0,0,1
615,terra12cs22gtcfz6rll4x6dq4fr8gmfs79jyzdduwqf,0,0,0,1
616,terra12dcartmvxxpl38yw3j0d7jp5tx9jt9qtwmzedp,1,0,0,1
617,terra12g026l04e0kqdkxrwysqpr2s2ajhv0csp6r7yq,1,0,0,1
618,terra12h9r5uy5wms8ekl7u4wx5a7l8rcw9jjp20y66x,0,0,0,1
619,terra12hdw3zhlgvfjhwefwh6tfq2wu3vs66p62rf7ws,1,0,0,1
620,terra12hlnzl0hxyjv6kkgd26r27r9dxvdnmc0swc5e4,1,1,0,1
621,terra12nl587jtqvsvxvvhxqfy3nprkz46e4c4q466p8,1,0,0,1
622,terra12p7kj9nfk69c3rkqsxkva9dukfvxner44f5yah,0,0,0,1
623,terra12s2edysenudupmuqx2g7ltcpq4afpdr7hme9lv,1,1,0,1
624,terra12sxrtp6rwmlyx622vmk8xe9vc9dm7hdjuyp6kg,1,1,0,1
625,terra12uvu7llj7ufugvaqt6lfxegfgexaf4wf84nj73,0,0,0,1
626,terra12wyd87u3me3gc9qpltzgpmnt409gn8sdlxj333,1,0,0,1
627,terra12ykr7suj979ytct8g4azap086p2fgseuar399t,1,0,0,1
628,terra132wxzje4q0nfwf58drzkgmwng3hyqdrw323rhr,1,0,0,1
629,terra133pn8fjwsknjv5nvtms4thh33dtmc32ysf3r57,1,0,0,1
630,terra135p6w8ym676rqufsfmyd0m0du8vuv3wwguktyd,0,0,0,1
631,terra136epuvkjuz0y4rqs07a4f59va9rhypp8lxck4s,0,0,0,1
632,terra136nvt37q5wysvc43t7ugt06a8c8q98dhfhaxfh,0,0,0,1
633,terra136wrp0wshler262s4l3gqs7na0cdduu2n6dtyu,1,0,0,1
634,terra139tktcs6gsd06x2zllhasg0qt392kvcgcpfdxy,1,0,0,1
635,terra13ae3h9rr9fhjmtt6scpx8xgctyea4xthkcntej,1,0,0,1
636,terra13c4j44ds6nem7550yrg9cvd3tg8pyr2sy9ufys,1,0,0,1
637,terra13du88jm8d2dj5t0ywqetzq0qq7jng8vx65f2tt,0,0,0,1
638,terra13e6svcf0dy58ee6z7s8d5jjmt92jz67k9gvanw,1,0,0,1
639,terra13enk029erqzpduwqmspx8mjltz30satd82trvx,1,0,0,1
640,terra13hcys8e4dfv8nv67kx3jhq52assfqwjcumwdah,1,0,0,1
641,terra13jp932urj4eymjgahvwrz8zrwmr3azvnxccsqf,1,0,0,1
642,terra13lqluryj257qakz7jjcczyvqp6sj0n334sjls8,1,0,0,1
643,terra13vpmdhm4x5pdp0fvy3vgt8gp7m8gd75drq6f5m,1,0,0,1
644,terra13vzwdeew5lxq4mmlaew7ndpvww8y8nv3vzts2k,1,0,0,1
645,terra13xglkt9unan88zaqe49n58fmq76efzhysqcyqv,0,0,0,1
646,terra13xh8se5gppahls23vk7n8seu2km0e44u4zjzyv,1,0,0,1
647,terra13xl2kg2ew04jhtaa0uhm4rqudqzv0j3pdda73q,0,0,0,1
648,terra13zf6xx2avlragrtr25eayhj5um07ydfq774ckp,0,0,0,1
649,terra14699gz5n4djwcdl4wc8zvqzcn3yftgx4zmk64s,0,0,0,1
650,terra146w32d9qhxacpxnmdyaf2dxhrevux70r7p3u7g,1,0,0,1
651,terra147fz7g9dk54k0snqp95uyzl0h66ecpu393uq8v,0,0,0,1
652,terra1482yzdz8yp7tdl30e2q6x625d69gns7ch8wfjh,1,0,0,1
653,terra148fwvg8patygfjvluypujavq05e8n6tr8qrayf,0,0,0,1
654,terra1493fwecn977uxn8u74qzqh57typ77ku3rxds4z,1,0,0,1
655,terra149k2mdz7qn7uqapf3gex604aemvpr5d0yn4wpf,0,0,0,1
656,terra14adge4r5tvuvqjuvd66kgupmee8l39wnna2lg3,1,1,0,1
657,terra14cr2qm7haac4y2rgndlvuvtgqykc8tayvxxjz9,1,1,0,1
658,terra14cxnscmgwjaaqnfnpmr0edha9qz0hx4f6xkgay,1,0,0,1
659,terra14f02mnp3p80aex7nr5j2xpzhqwdx55rc4uyjx3,0,0,0,1
660,terra14gvc6zysjwcxthan290sjhddk365tdkzzn7a53,1,1,0,1
661,terra14j6ctamzh62ukxq2d0r8prtqtvkfqvt5xerjyp,0,0,0,1
662,terra14kgu4hlug2c8gjdxkt35pqe3jgdcm3wr55gazs,0,0,0,1
663,terra14mj7snzwkmfacsschhycsv9xccqhvnyj4gechk,1,1,0,1
664,terra14pc54y8nnqc8tgxjtdld23cx4az70jxf94gs2x,0,0,0,1
665,terra14r8h48mfw32n564zxqdddxl3t99a8pxkct5fs7,0,0,0,1
666,terra14serep5hdgqwaqtyn4h8z8vrakpell337mtvtc,0,0,0,1
667,terra14tgtnkawmjye7a2hkkxddtr4fhet5z46z6tmt8,0,0,0,1
668,terra14vwq8zpr7sh9ajahr0gyhj6at6ha6rmdpecysm,1,1,0,1
669,terra14yhms5gfap70pky36djsfu6pxkkwcsffhpy85s,1,0,0,1
670,terra155k5surjxg09qrkzlf9xjr6u4kfelmy26cscss,0,0,0,1
671,terra157ynvwu6p8sdsznvp39fwcy7xfjxpmv6th3vd7,1,1,0,1
672,terra15936akdg8q3e6ezc4wgsk8t8r009e55rygshpt,0,0,0,1
673,terra15amg7the2325htty5wlemd63ul3tpqnq79lu4q,1,0,0,1
674,terra15cv79l30u8sjml2jr5q0ca0kwm3ah0ej80q5uy,0,0,0,1
675,terra15g99s0ya7cr2nvw6kpfua7ue553dkkwsmy5e4l,0,0,0,1
676,terra15hfsveszgpjrd7qt8n3647jfenauey5ku6tg78,1,0,0,1
677,terra15k5je80veu4ksaxcrxvlrhpury66rkjvaeud6x,0,0,0,1
678,terra15kkv0vhwvmlfd48y0pt9qr8q90d929naa2ptcc,0,0,0,1
679,terra15rrtnfddzmarc65f7qztwvjrenpu4lgmhmj9pa,0,0,0,1
680,terra15t8whag6hugz4jaehu6cen8rxt0jzqpqhuk6tm,1,0,0,1
681,terra15trmnvmm07pxhvc6hed9dl527h47dnuxee065s,0,0,0,1
682,terra15uc26dvk64feg4avzma7mhue982v4pnx5fkpyh,0,0,0,1
683,terra15vmdeefkvxllsquqgdvkjuc3fctde3djgmd2hv,0,0,0,1
684,terra15xed3ve2f3kr8tx30k9s3a3spy22nt9l9fte2g,1,1,0,1
685,terra15zpetcnjmg5p53na6rvyp6vvm7gnf0qcfrn8p9,1,0,0,1
686,terra162kt3ja8nwh7kr2ed67y054g42wqfs8ts7y4ee,1,1,0,1
687,terra162wqsemv6zxm6rq8gtlv3w7rl46f52anm8cka4,1,0,0,1
688,terra163nkfcy4q3dt9xy8de4593yuqd3jn8uth2epdm,1,0,0,1
689,terra167d69atdud4pghdd2djt7r7dujghzynlxx8ct4,1,0,0,1
690,terra167jx0cs890ak7ktrcfzrm95ynvdw0hn8e4e622,0,0,0,1
691,terra167p0s9dcxrg0qltud87fep6aevks3qxrlrx9ag,0,0,0,1
692,terra168zqjwh3wwe8ktg64uz4yzepn3d9pct6kgqdqm,1,1,0,1
693,terra16hhxa4x0n04q59fcjcgdg7rd49a2j0r3a209ul,0,0,0,1
694,terra16hq4vswe6gydxq5svehzfaq7qwj5kesc6vt280,0,0,0,1
695,terra16hy9z9w7prte8jagjnnvadn0p7sx44ymkykwh2,0,0,0,1
696,terra16lshrh8gmjk62t30xm2j3wnhc3w4kgxkvvrdd9,1,0,0,1
697,terra16mala8z8xej526t4n889v5dedd8zyxsaw6wkmu,1,0,0,1
698,terra16mjhfdj44cgk6y224ttes4f9jh2d6mdjze4gm0,1,0,0,1
699,terra16rhrvl9ajt9mty7cysu76humsdq2ze3j48500f,1,0,0,1
700,terra16s3w9tfqm3sfztp8manhm2wh7v3k7ndguwz659,0,0,0,1
701,terra16srpvaerzt84jln7x23qyr4lp5eqcpmm6hhdam,0,0,0,1
702,terra16vpkrtqhnqzaywdudwruur5kwceemh7xd95x9r,1,0,0,1
703,terra16vzhe8500360lc8kp4hgapk8rk07ehucsuxa7v,0,0,0,1
704,terra16zfnf0fwdthvj4n470k77gheruqxym7rplyu2c,1,0,0,1
705,terra170zy2s4x8suwyht5t0z94wspcchnl7lckn5wjw,0,0,0,1
706,terra1727h6a3fuhmyarepzxr79vwam2l7ra4u9xyyyl,1,0,0,1
707,terra173cz3gl2e94ceqj7vfpua4phwx7uen9efxkpqd,0,0,0,1
708,terra174yc9k2d3r2afm5pz6agtnggk82e2lvvfvs5c9,0,0,0,1
709,terra1753p72k6y44alvn6yev8nkaf90pk65k5lk73ue,1,0,0,1
710,terra175vgxxdqem93hnemuyq7jku5v7ummsj3drnv5f,0,0,0,1
711,terra176hv2mdpj8g2wdese6najxs8vzqtmlhusd3fjp,1,0,0,1
712,terra17jxk6xu7gcsf0eawlr8kv34uyw44wzjnugy5qr,1,1,0,1
713,terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu,1,1,0,1
714,terra17q0rrhtjq7a4wgqwqfy3c07hjvj0kdxxsc0ka3,0,0,0,1
715,terra17u3f9nvx6u6mczwjv9cy2fql6u893yckvuk9wt,0,0,0,1
716,terra17vvwalvuwp9yctantqjamf7qa3qnju26jfz9mj,1,0,0,1
717,terra17w3qzv45hjvwfw5v5dt6q9j5xrexye5l4khe4z,0,0,1,1
718,terra17w93uxwzg55xc97w3lhc9fln2y3j8gje4qr3r7,1,1,0,1
719,terra180tqfzmnhava8slu9vh3737tnt753jzr4mafly,1,0,0,1
720,terra1822q0kxy2l3jmdcx8ns5a2ztf79lalvuln2rky,0,0,0,1
721,terra186mfgpxxqlum7ry9afus476pk4nkvrg8r336rn,1,0,0,1
722,terra18728r0aqctelew3zs5xpadq8xkxxjd968ahphf,0,0,0,1
723,terra187ze0rx0ntkrvavazak6nh8hd0feqaychy8j3x,1,0,0,1
724,terra187zk78lq8t2ga448l8l99dmu4ykp3ylfffdshh,0,0,0,1
725,terra188s3f8ayvqcmazj4nnjj6ala8ah69mcmmey27k,1,0,0,1
726,terra18ad0432wgth6g3gfvnvxpsjkf6slm0mn8skcm0,1,0,0,1
727,terra18ad5qcc600z4regg9uuhk8vx8kua3gjtzmgh8r,0,0,0,1
728,terra18da60z6n6j6uhec5vsnxnpmdxkq5ps3deq2te3,0,0,0,1
729,terra18dzdhjkn37wvjej98qa0xrxk5n0ygk0me8uh2n,0,0,0,1
730,terra18q8f9e4j8kgwfjjx50gxq86uctg94l0450rcwf,0,0,0,1
731,terra18ryugmgvztqt0pmr923cens6h52va08ujnlzdj,1,0,0,1
732,terra18vujrcz02t5qcp96d5d33enzldxy7vngmuxhsn,1,0,0,1
733,terra18xwae94yafekmfecn2rn8rnl38ezt2msl99ngz,0,0,0,1
734,terra18yte7d923p6fnjh6jwrt2fs7a2wa499gysenju,1,0,0,1
735,terra193kh9fnhgu9geeqa4ntysvh5dpzmaaacmw3729,0,0,0,1
736,terra1962s9qa6d7vg8w8ta2x30zyyqxekdj85ke9x0w,1,0,0,1
737,terra197wpykdmr4w829p3fn7xz0r3zptlz8sgsg2htm,0,0,0,1
738,terra19clr4tuh3u80r57jctt4lyrtjetccnv5faxgxl,1,1,0,1
739,terra19cyrpczkya6rhy76z5dqf524j7syqd2r44g459,1,0,0,1
740,terra19l4n2nn563zdg2rhqy0yjg3fm6hw22ntnzzmnk,1,0,0,1
741,terra19lgsf8es5u967s34f437svm5cgcf5yfcm0mpjv,0,0,0,1
742,terra19me65np9zchq5ppps82ay2k08dt0yj88f0r3cf,0,0,0,1
743,terra19puxm4stp4anvsl2xmylhkdmhu5q90txhhjnm2,1,0,0,1
744,terra19syl0vgj528j9z6zdj9drxs4pn6lv99uu8hajl,0,0,0,1
745,terra19syr7awckrvle968ae7f7l6zz7e7mz0a8k5wdv,0,0,0,1
746,terra19tv7ulgprauyy2cu9fslhvqtrnz3jvahn9mwn2,0,0,0,1
747,terra19uwr2arrn3kjlfw3594zql9jr8f9nss5vayul2,0,0,0,1
748,terra19v7t2t2c8dlzyke34jg9xe23kmu8dszzlqwh9d,1,0,0,1
749,terra19xxwpp2wj3j9kzfku6sq3gqnqv8lnzwrrpsl6l,1,0,0,1
750,terra19ywfmkrf90j9gc69p9gs2lt7nrnpu8gm7myxjd,1,0,0,1
751,terra19z46w3dlw85yy9p2n4squ8jtl25h423cr2feg3,1,0,0,1
752,terra19zkkfm59w2pa8q89477vqw6fmzjqhu7sstd52r,0,0,0,1
753,terra1a338zznpamyqfzs5yds60nc7qljddpyjlx0wme,1,0,0,1
754,terra1a6zgs892aq4z5x2ahrcy95utxcjhutkurzc2m5,0,0,0,1
755,terra1a79th0al7dyn788jpd47veeafejjfds6tq2ghe,1,0,0,1
756,terra1a9dhfdrlllqdl77mksw0xpr3w0lhlswvjr025k,0,0,0,1
757,terra1aavxhkpne90snmg3feyu8g96ta5qype6ja4g3n,1,0,0,1
758,terra1ad3a6dnncqgal99w48zcdwkv0yetp8jhhwpshz,1,0,0,1
759,terra1affusa8qnchg0zxnlynz96mecxk4wwc2u27pen,0,0,0,1
760,terra1aj749s3mqexkn4q79htvchk48wrn2lwrqcqsrc,1,1,0,1
761,terra1ajr49zhtnujesnqc4pcmdfzl4hquf5285ypvdg,0,0,0,1
762,terra1aky4257p45k0cayvuzrqk5v89x0uslyts8vas4,0,0,0,1
763,terra1amjt3drhwntkpcpqnmvu60mdau0r5mepdqlau6,0,0,0,1
764,terra1ancz4qt92z4hzzj2q3gfpxvzsxrj89azu95lzj,0,0,0,1
765,terra1aq2a00qg7qmhd8gf3w7jtn8hgrjpt4swzqrema,0,0,0,1
766,terra1ar28xyx4fxa3z0e40ngypyw422qu50aqyz92wc,1,0,0,1
767,terra1aseg4hkalald6hg23hrh73qnqfjyceex7ykktm,1,1,0,1
768,terra1at6r58ry7tjgtkyfad77620c2hy7yj2v9tm5ey,1,0,0,1
769,terra1au4g0xkhe63zevhf3h7uk0j6cqkfrkfq4cvds0,0,0,0,1
770,terra1ausn25cpuqr558zjcn65zel6gj5fvys0ync22k,0,0,0,1
771,terra1avtwjk5xeszvxd9hvwqlxvtvv3c7yf6qfydp6k,0,0,0,1
772,terra1awxvx2rd0nuplfnj3kyx2y8s500hvf4tmne7m7,1,0,0,1
773,terra1axf8xmf66d7pktyqjw20d28zae23atdezhfgpp,1,0,0,1
774,terra1axjenrjrqyxuec2s8pr2y574n4j4zp3z5y50s8,0,0,0,1
775,terra1aysya94w8fsw4k2hqj7j3dglsqlrpxa3v4zygr,0,0,0,1
776,terra1ayxcpmjwrldh6jstm2fmhqrgdefj2j02w0cdy7,1,0,0,1
777,terra1azd6zsand20tdznge8246lplsy2hp88er5azu6,0,0,0,1
778,terra1c2plfjtcyrw5vd0ahqrp97vlwnvlyjh94ww0pj,1,0,0,1
779,terra1c3q6eu4nwyw55y95mvhm86xwrdgp9vzddlf22j,0,0,0,1
780,terra1c3tquhhe959fmpu9jetka4w9xvp9fym0n98uc8,1,1,0,1
781,terra1c3u23lm6v9qdtsxdukpcgh92ts0xuzsxsxxzsr,1,0,0,1
782,terra1c4rv7445zl5cjzpkywpgczpavltw4sk9e5awnj,1,0,0,1
783,terra1c57ur376szdv8rtes6sa9nst4k536dynunksu8tx5zu4z5u3am6qmvqx47,1,1,0,1
784,terra1c5ghlxrh2xhnj32sajven0avkuf4r4ejavnkvj,0,0,0,1
785,terra1c5sln6rzmqzrptf7f837e98eemje6dfge8dc89,1,1,0,1
786,terra1c690mdrwdetnr09zfk3tf9xz9jhrgd9wpjyf3tuccj74ql09eqmq6sh7en,1,0,0,1
787,terra1c6g84yzxgstj4jwhjm9ya9j5u4lf6sfpg7cepg,0,0,0,1
788,terra1c8s6qr0nzepdnzr4m8p3krq8kfk8ex6yzrucc9,1,0,0,1
789,terra1caqnsrs6tm3rmvxm477t7apvxqlz02qx6nr5rl,1,1,0,1
790,terra1caz7un0vtg8ffalrtehvfjkpddk38jwmkun64k,0,0,0,1
791,terra1cczlrgqpr39pkmykuwmfwxgs45v7v9ckpkyc6y,1,0,0,1
792,terra1cl0xj9acpcr7wkmpp2uwaye24drgwkmr9wsag2,0,0,0,1
793,terra1cr8gvqj86duhgfpvjs5x237v4wfsf0qykacsjx,1,0,0,1
794,terra1cry38zflpdkfmxpjg3ej7nd78xfl6m269j2e8e,1,0,0,1
795,terra1cuuy0v7yczxxu2pvtuvv77k4ethj33keyu4n7y,0,0,0,1
796,terra1cw0lpm8vy0f0a5chhy3hlval5jpexz2qnx8p3r,1,0,0,1
797,terra1cwkrvhc6yac5lzrhh6grs9ejzmdv763gus4fl5,1,1,0,1
798,terra1cwmsseep6fnckt753nlxg5cz6x9hh7utfkzkpd,0,0,0,1
799,terra1cx8j8aym6lnj5z7m6xm6hd06jxzt9xpdyhryfq,1,0,0,1
800,terra1cyq6n7l3y7lzplv6jnl38julzeyg3rv9cvvyra,1,1,0,1
801,terra1cznyrvcu8mjq2jt2c8nr2u9hrek0t26yvps686,0,0,0,1
802,terra1d2800anenxq899kptt2gme8mhy7cgrj3ppsjp9,0,0,0,1
803,terra1d2ugu8shedttvv630qu3ene6yzgth4lesm9602,1,0,0,1
804,terra1d2un88e6vpramsxa8caqsgq4rrwsmplxjuxsky,1,0,0,1
805,terra1d6n0nvqcpz8ywpcqak383thavz9aaq0jugdmcs,1,0,0,1
806,terra1d8uurn9cdycvg0q992d5d9536h4fx2k7cpfkge,0,0,0,1
807,terra1da8muawzaf404rnz5huqggeuykmfnhu2fntkhz,0,0,0,1
808,terra1dauyx0wew8pc760apyewvlzfvrqgs0jf3609yv,1,0,0,1
809,terra1daw90dhgh652wjpcz2dtwc6k09lc2mn3j36tk5,0,0,0,1
810,terra1dc7h5wtyh9x2glpv4c20hk3d4vf6jlxmp8zrlc,0,0,0,1
811,terra1dg0tq4sc6e9eldayr29klfcspy06s062r6eskv,0,0,0,1
812,terra1dguyh7wldv5h47c05vx9dq3lcg2enf5jzp22kz,0,0,0,1
813,terra1dk485cjydmd8q4g04mc2u74j0uwftxg8e32ypr,0,0,0,1
814,terra1dmzj3tegc472gl6n8yd0ttcjt8n2grftwydg86,0,0,0,1
815,terra1dn3fgntfjfujfapre2cqrvthcttgkatggkqhqf,1,0,0,1
816,terra1dpdpclq2p3ggda0mwm5ym5yvmdj0sff2d0f53p,1,0,0,1
