rank,address,liquid,staked,market,total
94,terra1ysxg3v9udswxqf6cequgzd77p89vepsjezvf94,0,0,4,4
95,terra1q6wxdv6rc7p4jjhayg4smj7trxcmwfy44yqk3n,4,4,0,4
96,terra1hzyzys3s7s7xsls5gvsta3z3ylcy7fjcnpgmas,4,4,0,4
97,terra1dnge4t4jnghdmzlqna2utt4munzl257jme6qye,3,0,0,3
98,terra1kw4xe0sjlungq7pm7h7780gmm0wd46kzvd2w9s,3,3,0,3
99,terra1vm5azhvaxeanc7auxh02y8jmxrk8tj93f6aywp,3,0,0,3
100,terra10nyxzaz32hx7durcpfr3lxrr5c0nkhvgf7436f,0,0,0,3
101,terra10a4mywgdtf4feaafu7csqhvxk0ugsywl5z0hem,0,0,0,3
102,terra13g40yedrn7y6mgrv5artasxt8sj2nlat2z3nux,0,0,0,3
103,terra1lhrvtp45zn67dks9g55hf7plnfpsp9jxud0ufp,3,0,0,3
104,terra1drj49mmalxuvhxwt5yk02ea7csflnzpfssn6ge,3,0,0,3
105,terra1uaxwcjuswy60cvr2lknks2j6kpwpqqhnuxlvu3,3,3,0,3
106,terra1fye4el7alj0zekd5eqr29053unqqwjhaymnng3,3,3,0,3
107,terra1k6424kpxl2ax6c58lutrz2sdkllyuq9dafq8f8,3,3,0,3
108,terra1gudw9nanjmwjgjqree4k0x8aqft8w4rsththl6,3,3,0,3
109,terra1r086c539nhw5t6khsjy3xe9x3s9f6l5v9rdz9x,3,3,0,3
110,terra1yu076nvjakk759r9tlsnhhtvnyn3addq60ush0,0,0,0,3
111,terra1dfhtfjemtx7gxe6z2psqa3e497enu5hg55ww6y,0,0,0,3
112,terra1825czwm8d69kk30c82zmlc03s47cjvudsn5ag2,3,3,0,3
113,terra1kt5wxtdjewnwlg68scjpknxaz0jgvzskxs3lta,3,3,0,3
114,terra1dve8zlfxlwajnw4gxkd5540mr95wxjm3eeckep,3,0,0,3
115,terra1mq7zc8xjc5mye7vcpqfjwcchs9zsf45pxtwyre,3,3,0,3
116,terra1je9hqw9m8guxwny2qd6j802cqafp5av8vq4pf2,3,3,0,3
117,terra1rtm76eccc5ka0dd8eac7j2w64qvclr2jkg89q3,2,0,0,3
118,terra124sffy6y07qm36cptumtg94ur69e7sf85q5fem,3,3,0,3
119,terra18ljvj5jycg3yc8s9epknscxs25h6txzyy4aane,3,0,0,3
120,terra1w7at930k5t3axzgu94txh8lpwftp7nvm3x5l9k,3,3,0,3
121,terra1w7ayljrk3hf9xnvsg042l2vdyuyptd7wf2rpx8,3,3,0,3
122,terra1n75apcsmzejuwu6qn2zath5maaw83d0s4gmx4j,3,3,0,3
123,terra1w88tmp6p9nf9sg4fzlr9dqxx7y4xjwfwgt4urz,3,3,0,3
124,terra1s0xk5m95ldmsqnyq6qh2h0nlyqtkwzu45y55x5,0,0,0,3
125,terra1mqmqc7vmjpslgeju4m0pwwt94gutllnur775kv,2,0,1,3
126,terra12u7jfsekpjp3k9g766qjxe9wcvelpxp06474pl,0,0,0,3
127,terra1zsrrs5wpxvmt6sjfaz64p5e2hquczu284txq4u,3,3,0,3
128,terra1hwsm9fm0j79lgfgd37z8fe6gsxl4d4mxtc5td8,3,0,0,3
129,terra1gnuzu4cp7wh900rg0xgvkeq5rpaluw6srv6l0k,3,3,0,3
130,terra1qxv56zdtp0dhf709zem0tajl4vw3dvzmd08ge9,3,0,0,3
131,terra1p3x7fcpjqhenwu8x3q0lxpfhlecd8rs0yepn5k,3,3,0,3
132,terra1jjzq6n86cdd3qqq2mq3qxrr756wyadhks29mmg,3,0,0,3
133,terra1y0c679k2dzshzmrgz8fjj3ed6gv84h53grcer6,3,0,0,3
134,terra199jlusyxpj7p5s9emw62fedjp7j3frw0nk3h5q,0,0,0,3
135,terra1ux077aq7qqy5h56rvtedgpkfmxjn6pz6ptz9qr,3,0,0,3
136,terra1fgqgr342dhaz6e747tpakwuknwhane0lg09wng,3,3,0,3
137,terra1rxewq5ksxqp2skt9cdpvnuajvspn6eevczcctv,3,0,0,3
138,terra1ur6629jtzrk7fr94vlg9dythm5nnukay7m00sv,3,3,0,3
139,terra1y4059q78s3ua85cje49stpyx5f7x574f4nrzgj,2,0,0,3
140,terra1lquf92zhukyksj0746tt0hefy77l2vjyumttd6,3,0,0,3
141,terra1suvx3ndp24kwdm2cns6l3eyu6jyssef38wzzef,0,0,0,3
142,terra1lvww36m4e8k2sq5ss4vsa5c0msjh8wm7mv0e7l,3,0,0,3
143,terra1y7fju2etkhzjl2pq9ph8thc0rmeldc2486aa86,3,0,0,3
144,terra1g9y27q0txc656ckj9lwvfv689a4gc3egerejj7,0,0,0,3
145,terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh,0,0,0,2
146,terra1k3lrud2y0hlamzfuyyer63t3789vvf83rfwvnx,1,0,0,2
147,terra1220zac029dwpy9usfnnx0awmwmleur56evat8j,2,0,0,2
148,terra1xwn3xt4u3yxcn7yd37qphz6ktq5kua2kehsfx5,0,0,0,2
149,terra1rz039rdm5yf0s62phmpmhjcmhm5v3gf6cc5j9e,2,0,0,2
